hole_id,collect_date,analyte,from,to,result_num,units,result_label,result,qualifier,mdl,pql
DPT10A,2020-06-23T13:15:00Z,Chromium VI,65.2,67.2,0,ug/L,ND,7.50U,U,5.00,10.0
DPT10A,2020-06-23T16:38:00Z,Chromium VI,72.5,74.5,0,ug/L,ND,7.50U,U,5.00,10.0
DPT10A,2020-06-24T09:27:00Z,Chromium VI,77,79,0,ug/L,ND,7.50U,U,5.00,10.0
DPT10A,2020-06-25T10:04:00Z,Chromium VI,82.6,84.6,0,ug/L,ND,7.50U,U,5.00,10.0
DPT11A,2020-06-17T11:55:00Z,Chromium VI,51.5,53.5,0,ug/L,ND,7.50U,U,5.00,10.0
DPT11A,2020-06-17T13:50:00Z,Chromium VI,58.4,60.4,0,ug/L,ND,7.50U,U,5.00,10.0
DPT12A,2020-06-23T12:50:00Z,Chromium VI,52,54,0,ug/L,ND,7.50U,U,5.00,10.0
DPT13A,2020-07-12T11:25:00Z,Chromium VI,52,54,0,ug/L,ND,7.50U,U,5.00,10.0
DPT13A,2020-07-12T15:46:00Z,Chromium VI,59,61,0,ug/L,ND,7.50U,U,5.00,10.0
DPT13A,2020-07-13T10:11:00Z,Chromium VI,64,66,0,ug/L,ND,7.50U,U,5.00,10.0
DPT13A,2020-07-13T12:44:00Z,Chromium VI,71,73,0,ug/L,ND,7.50U,U,5.00,10.0
DPT13A,2020-07-13T15:05:00Z,Chromium VI,80.2,82.2,77,ug/L,77,77.0,NA,5.00,10.0
DPT14A,2020-07-07T13:31:00Z,Chromium VI,46.6,48.6,0,ug/L,ND,7.50U,U,5.00,10.0
DPT14A,2020-07-08T09:51:00Z,Chromium VI,61.9,63.9,0,ug/L,ND,7.50U,U,5.00,10.0
DPT17A,2020-07-01T17:01:00Z,Chromium VI,69.3,71.3,0,ug/L,ND,7.50U,U,5.00,10.0
DPT20A,2020-06-15T11:56:00Z,Chromium VI,49.7,51.7,0,ug/L,ND,7.50U,U,5.00,10.0
DPT20A,2020-06-15T16:28:00Z,Chromium VI,59.8,61.8,0,ug/L,ND,7.50U,U,5.00,10.0
DPT20A,2020-06-16T11:08:00Z,Chromium VI,61.7,63.7,0,ug/L,ND,7.50U,U,5.00,10.0
DPT20A,2020-06-16T13:03:00Z,Chromium VI,76,78,0,ug/L,ND,7.50U,U,5.00,10.0
DPT20A,2020-06-16T15:27:00Z,Chromium VI,82.8,84.8,0,ug/L,ND,7.50U,U,5.00,10.0
DPT21A,2020-06-30T12:30:00Z,Chromium VI,49.5,51.5,0,ug/L,ND,7.50U,U,5.00,10.0
DPT21A,2020-06-30T15:35:00Z,Chromium VI,61.9,63.9,0,ug/L,ND,7.50U,U,5.00,10.0
DPT21A,2020-07-01T09:16:00Z,Chromium VI,71.5,73.5,0,ug/L,ND,7.50U,U,5.00,10.0
DPT21A,2020-07-01T11:21:00Z,Chromium VI,81,83,0,ug/L,ND,7.50U,U,5.00,10.0
DPT23A,2020-06-26T16:40:00Z,Chromium VI,51.1,53.1,0,ug/L,ND,7.50U,U,5.00,10.0
DPT23A,2020-06-27T11:22:00Z,Chromium VI,57.3,59.3,0,ug/L,ND,7.50U,U,5.00,10.0
DPT23A,2020-06-27T13:28:00Z,Chromium VI,62,64,0,ug/L,ND,7.50U,U,5.00,10.0
DPT24A,2020-06-13T16:19:00Z,Chromium VI,49.3,51.3,0,ug/L,ND,7.50U,U,5.00,10.0
DPT24A,2020-06-14T10:30:00Z,Chromium VI,54,56,0,ug/L,ND,7.50U,U,5.00,10.0
DPT24A,2020-06-14T12:38:00Z,Chromium VI,59,61,0,ug/L,ND,7.50U,U,5.00,10.0
DPT25A,2020-07-10T16:44:00Z,Chromium VI,52,54,0,ug/L,ND,7.50U,U,5.00,10.0
DPT25A,2020-07-11T16:13:00Z,Chromium VI,59.2,61.2,0,ug/L,ND,7.50U,U,5.00,10.0
DPT27A,2020-07-09T14:44:00Z,Chromium VI,41.7,43.7,0,ug/L,ND,7.50U,U,5.00,10.0
DPT27A,2020-07-10T15:33:00Z,Chromium VI,54.7,56.7,0,ug/L,ND,7.50U,U,5.00,10.0
DPT04A,2020-06-28T14:30:00Z,Chromium VI,54,56,0,ug/L,ND,7.50U,U,5.00,10.0
DPT04A,2020-06-28T16:41:00Z,Chromium VI,86.6,88.6,0,ug/L,ND,7.50U,U,5.00,10.0
DPT04A,2020-06-29T09:15:00Z,Chromium VI,92,94,0,ug/L,ND,7.50U,U,5.00,10.0
DPT46A,2020-06-26T10:29:00Z,Chromium VI,46.5,48.5,0,ug/L,ND,7.50U,U,5.00,10.0
DPT46A,2020-06-26T12:26:00Z,Chromium VI,54.5,56.5,0,ug/L,ND,7.50U,U,5.00,10.0
DPT46A,2020-06-26T16:37:00Z,Chromium VI,64.5,66.5,0,ug/L,ND,7.50U,U,5.00,10.0
DPT46A,2020-06-27T09:58:00Z,Chromium VI,69,71,0,ug/L,ND,7.50U,U,5.00,10.0
DPT05A,2020-06-28T16:09:00Z,Chromium VI,47,49,0,ug/L,ND,7.50U,U,5.00,10.0
DPT05A,2020-06-29T10:29:00Z,Chromium VI,52.7,54.7,0,ug/L,ND,7.50U,U,5.00,10.0
DPT05A,2020-06-29T13:35:00Z,Chromium VI,57.6,59.6,0,ug/L,ND,7.50U,U,5.00,10.0
DPT05A,2020-06-29T16:06:00Z,Chromium VI,65.1,67.1,0,ug/L,ND,7.50U,U,5.00,10.0
DPT05A,2020-06-29T18:01:00Z,Chromium VI,72.9,74.9,0,ug/L,ND,7.50U,U,5.00,10.0
DPT05A,2020-06-30T10:11:00Z,Chromium VI,82.5,84.5,0,ug/L,ND,7.50U,U,5.00,10.0
DPT08A,2020-07-06T14:09:00Z,Chromium VI,57.5,59.5,0,ug/L,ND,7.50U,U,5.00,10.0
DPT08A,2020-07-07T11:09:00Z,Chromium VI,61.8,63.8,0,ug/L,ND,7.50U,U,5.00,10.0
DPT08A,2020-07-07T14:11:00Z,Chromium VI,69.5,71.5,0,ug/L,ND,7.50U,U,5.00,10.0
DPT09A,2020-07-14T10:01:00Z,Chromium VI,49.5,51.5,0,ug/L,ND,7.50U,U,5.00,10.0
DPT09A,2020-07-14T15:00:00Z,Chromium VI,81.7,83.7,0,ug/L,ND,7.50U,U,5.00,10.0
